mAb,CL,VC,VP,Q,ka,F,Km,Vm,Route,NonLin,TMDD,Time dependency,Fixed Parameters,Detection,N,Smpls,CL_WT,VC_WT,VP_WT,Q_WT,Size descriptor,Ref size,CL_SEX,VC_SEX,VP_SEX,SEX,CL_ALB,VC_ALB,VP_ALB,ALB,CL_ADA,cov_remark,Basemodel included,Modelcode included
atezolizumab,0.2,3.28,3.63,0.546,,,,,i.v.,0,,0,,ELISA,906,,0.808,0.559,,,BW,77,,-0.129,-0.27,M,-1.12,-0.35,,40,x 1.159,,Yes,0
atezolizumab,0.233,3.35,3.36,0.452,,,,,i.v.,0,,0,,,88,,,,,,,,,,,0,,,,,,,No,0
avelumab,0.528,3.42,0.918,0.751,,,,,i.v.,1,,1,,ELISA,1827,10637,0.324,0.362,,,BW,71,-0.15,-0.16,,M,-0.438,-0.278,,,x 1.23,,No,1
cemiplimab,0.29,3.32,1.65,0.638,,,,,i.v.,0,,0,,,549,11178,0.477,0.97,0.97,0.477,BW,76.2,,,,0,-0.926,,,38,,,No,0
cemiplimab,0.254,3.35,2.52,0.652,,,,,i.v.,0,,0,,ELISA,1063,17312,0.539,0.499,0.499,0.539,BW,73.2,-0.137,-0.08,,M,-1.11,-0.217,,38.6,0,,No,1
durvalumab,0.257,4.63,2.68,0.902,,,,,i.v.,0,,0,,ECL,267,1812,0.581,0.451,,,BW,74.7,-0.21,-0.21,,M,-1.58,-0.566,,40,,,No,0
durvalumab,0.232,3.51,3.56,0.477,,,0.608,0.961,i.v.,1,MM,0,,ECL,1409,7406,0.4,0.406,,,BW,69.8,-0.129,-0.166,-0.236,M,-2.70E-02,,,38,x 1.256,CL_Alb linear,No,0
durvalumab,0.191,3.45,2.13,0.469,,,,,i.v.,1,,1,,ECL,3737,,0.376,0.499,,,BW,69.4,-0.149,-0.14,,M,-0.659,,,39,0,,No,0
margetuximab,0.299,3.73,3.73,0.885,,,,,i.v.,1,MM,0,,ELISA,66,,0.75,1,1,0.75,BW,70,,,,0,,,,,0,,No,0
nivolumab,0.211,3.46,3.46,0.48,,,,,i.v.,0,,0,,ELISA,221,1715,0.97,,,,BSA,1.95,-0.17,,,M,-1.34,,,42,,,No,1
nivolumab,0.199,4.46,2.52,0.624,,,,,i.v.,1,,1,,ELISA & ECL,1302,8585,0.498,0.428,,,BW,80,-0.134,-0.189,,M,-0.869,,,40,,,No,0
nivolumab,0.187,4.13,2.5,0.746,,,,,i.v.,1,,1,,ELISA & ECL,1074,7514,0.754,0.615,,,BW,80,,0.102,,F,-0.711,,,40,,,No,0
nivolumab,0.168,3.63,2.78,0.77,,,,,i.v.,1,,1,,ELISA & ECL,1895,12292,0.566,0.597,,,BW,80,0.165,0.15,,F,,,,,,,No,0
nivolumab,0.204,4.27,2.7,0.838,,,,,i.v.,1,,1,,,6468,32835,0.53,0.534,,,BW,80,-0.181,-0.161,,M,,,,,0,,No,1
nivolumab,0.191,4.19,2.64,0.703,,,,,i.v.,1,,1,,ELISA & ECL,1200,6945,0.529,0.74,,,BW,71,-0.182,-0.132,,M,,,,,0,,No,0
nivolumab,0.219,4.17,3.38,1.207,,,,,i.v.,0,,0,,LCMS,364,992,0.348,0.81,,,BW,73,,,-0.558,M,-0.738,,,38,0,,Yes,0
nivolumab hyaluronidase-nvhy,0.191,4.27,2.63,0.782,0.396,0.767,,,s.c./i.v.,1,,1,,,3540,19350,0.588,0.626,,,BW,80,-0.162,-0.139,,M,,,,,0,,No,1
pembrolizumab,0.22,3.48,4.06,0.795,,,,,i.v.,0,,0,,ECL,2195,12171,0.578,0.492,,,BW,76.8,-0.15,-0.134,,M,-0.907,-0.208,,39.6,,,No,1
pembrolizumab,0.168,2.88,2.85,0.384,,,7.84E-02,0.114,i.v.,1,MM,0,,ECL,,,,,,,,,,,,0,,,,,0,,No,1
pembrolizumab,0.221,3.15,3.54,0.736,,,,,i.v.,0,,0,,,644,3909,0.555,0.543,0.543,0.555,BW,75,-0.163,-0.139,,M,-0.836,-0.26,,39,0,,No,1
toripalimab,0.358,3.71,0.796,0.876,,,,,i.v.,1,,1,,,1014,10430,9.70E-02,0.488,,,BW,64,-0.19,-0.19,,M,-0.676,,,43.7,x 1.191,,No,0
