mAb,Reference,CL,VC,VP,Q,ka,F,Km,Vm,Route,NonLin,TMDD,Time dependency,Fixed Parameters,Detection,N,Smpls,CL_WT,VC_WT,VP_WT,Q_WT,Size descriptor,Ref size,CL_SEX,VC_SEX,VP_SEX,SEX,CL_ALB,VC_ALB,VP_ALB,ALB,CL_ADA,cov_remark,Basemodel included,Modelcode included
aducanumab,https://doi.org/10.1002/psp4.12728,0.382,3.59,6.04,0.466,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,2961,50306,0.561,0.506,0.32,NA,BW,70.9,0.134,0.146,0.129,F,NA,NA,NA,NA,NA,NA,No,1
alirocumab,https://doi.org/10.1007/s40262-016-0505-1,0.167,3.16,2.61,0.494,0.647,0.584,NA,NA,s.c./i.v.,1,TMDD,0,NA,ELISA,527,4396,NA,NA,NA,NA,NA,81,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
alirocumab,https://doi.org/10.1007/s40262-016-0505-1,0.176,4.67,2.61,0.343,0.307,0.556,NA,NA,s.c./i.v.,1,TMDD,0,"CL_WT, VC_WT, Q_WT",ELISA,2870,14097,0.75,1,NA,0.75,BW,85,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
alirocumab,https://doi.org/10.1007/s40262-018-0669-y,0.298,3.19,2.79,0.444,0.184,0.862,7.73,4.128,s.c./i.v.,1,MM,0,NA,ELISA,2799,13717,0,NA,NA,NA,BW,82.9,NA,NA,NA,0,NA,NA,NA,NA,NA,CL_WT linear,Yes,0
amivantamab,https://doi.org/10.1002/cpt.3064,0.288,2.41,2.33,7.2,NA,NA,NA,NA,i.v.,0,NA,0,"CL_WT, VC_WT",ECL,362,8756,0.75,1,NA,NA,BW,59.9,0.237,NA,NA,F,NA,NA,NA,NA,0,NA,Yes,1
anifrolumab,https://doi.org/10.1093/rheumatology/keab176,0.125,3.84,2.02,0.159,NA,NA,NA,NA,i.v.,1,TMDD,0,"CL_WT, VC_WT",ECL,202,NA,0.75,1,NA,NA,BW,70,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
anifrolumab,https://doi.org/10.1002/jcph.2055,0.131,2.93,3.3,0.937,NA,NA,NA,NA,i.v.,1,TMDD,1,NA,ECL,670,6049,0.601,0.764,NA,NA,BW,69.1,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,1
atezolizumab,https://doi.org/10.1002/cpt.587,0.2,3.28,3.63,0.546,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,906,NA,0.808,0.559,NA,NA,BW,77,NA,-0.129,-0.27,M,-1.12,-0.35,NA,40,x 1.159,NA,Yes,0
atezolizumab,https://doi.org/10.1002/cpt.1198,0.233,3.35,3.36,0.452,NA,NA,NA,NA,i.v.,0,NA,0,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
avelumab,https://doi.org/10.1002/psp4.12406,0.528,3.42,0.918,0.751,NA,NA,NA,NA,i.v.,1,NA,1,NA,ELISA,1827,10637,0.324,0.362,NA,NA,BW,71,-0.15,-0.16,NA,M,-0.438,-0.278,NA,NA,x 1.23,NA,No,1
